26
6
(1.50, -0.50, 0.00)(0.00, 0.00, 0.00)
(2.50, -0.50, 0.00)(0.00, 0.00, 0.00)
(1.50, 0.50, 0.00)(0.00, 0.00, 0.00)
(2.50, 0.50, 0.00)(0.00, 0.00, 0.00)
(1.50, -1.50, 0.00)(0.00, 0.00, 0.00)
(2.50, -1.50, 0.00)(0.00, 0.00, 0.00)
(1.50, 1.50, 0.00)(0.00, 0.00, 0.00)
(1.50, -2.50, 0.00)(0.00, 0.00, 0.00)
(0.50, 1.50, 0.00)(0.00, 0.00, 0.00)
(0.50, -2.50, 0.00)(0.00, 0.00, 0.00)
(0.50, 2.50, 0.00)(0.00, 0.00, 0.00)
(0.50, -3.50, 0.00)(0.00, 0.00, 0.00)
(-0.50, 2.50, 0.00)(0.00, 0.00, 0.00)
(-0.50, -3.50, 0.00)(0.00, 0.00, 0.00)
(-1.50, 2.50, 0.00)(0.00, 0.00, 0.00)
(-1.50, -3.50, 0.00)(0.00, 0.00, 0.00)
(-1.50, 1.50, 0.00)(0.00, 0.00, 0.00)
(-1.50, -2.50, 0.00)(0.00, 0.00, 0.00)
(-2.50, 1.50, 0.00)(0.00, 0.00, 0.00)
(-2.50, -2.50, 0.00)(0.00, 0.00, 0.00)
(-2.50, 0.50, 0.00)(0.00, 0.00, 0.00)
(-3.50, 0.50, 0.00)(0.00, 0.00, 0.00)
(-2.50, -0.50, 0.00)(0.00, 0.00, 0.00)
(-3.50, -0.50, 0.00)(180.00, 0.00, 0.00)
(-2.50, -1.50, 0.00)(90.00, 0.00, 0.00)
(-3.50, -1.50, 0.00)(0.00, 0.00, -90.00)
